CCN,Address,State,ZIP,Hospital Type,Ownership,ED Services,Abdominopelvic Accidental Puncture Or Laceration Rate,Death Rate Among Surgical Inpatients With Serious Treatable Complications,Death Rate For Cabg Surgery Patients,Death Rate For Copd Patients,Death Rate For Heart Failure Patients,Death Rate For Pneumonia Patients,Hybrid Hospital Wide All Cause Risk Standardized Mortality Rate,Iatrogenic Pneumothorax Rate,In Hospital Fall Associated Fracture Rate,Mort 30 Ami,Mort 30 Stk,Perioperative Pulmonary Embolism Or Deep Vein Thrombosis Rate,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Postoperative Hemorrhage Or Hematoma Rate,Postoperative Respiratory Failure Rate,Postoperative Sepsis Rate,Postoperative Wound Dehiscence Rate,Pressure Ulcer Rate,Medicare Hospital Spending Per Patient Medicare Spending Per Beneficiary
020017,2801 DEBARR ROAD,AK,99508,Acute Care Hospitals,Proprietary,Yes,1.2,224.33,2.8,8.1,9.9,18.3,4.4,0.19,0.23,14.6,13.3,3.8,1.4,2.7,9.79,6.25,1.67,0.53,0.88
020001,3200 PROVIDENCE DRIVE,AK,99508,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.85,217.92,3.1,11.8,10.8,15.9,3.7,0.19,0.3,10.9,13.6,2.83,1.89,2.83,8.45,5.65,1.52,1.06,0.95
020006,2500 SOUTH WOODWORTH LOOP,AK,99645,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.59,180.94,,16.5,15.5,17.6,4.9,0.21,0.33,13.2,12.6,2.91,1.59,1.99,12.94,6.96,2.08,0.18,0.84
020008,3260 HOSPITAL DR,AK,99801,Acute Care Hospitals,Government - Local,Yes,0.85,,,7.3,10.8,13.0,3.8,0.24,0.28,,12.3,4.13,,2.38,,,1.84,0.47,0.88
020012,1650 COWLES STREET,AK,99701,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8,,,12.1,18.2,22.8,4.8,0.4,0.31,12.5,14.5,4.62,1.65,2.62,8.44,5.88,2.14,1.7,0.83
020024,250 HOSPITAL PLACE,AK,99669,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8,167.44,,10.1,12.6,16.7,3.9,0.23,0.35,,14.4,4.85,1.64,2.59,12.36,8.15,1.78,0.75,0.85
020026,4315 DIPLOMACY DR,AK,99508,Acute Care Hospitals,Government - Federal,Yes,1.85,212.14,,7.3,13.5,13.7,3.9,0.47,0.37,11.9,14.1,3.29,1.54,4.05,9.43,5.51,2.0,3.06,0.96
02013F,673 MDG 5955 Zeamer Ave,AK,99506,Acute Care - Department of Defense,Department of Defense,Yes,,,,,,,,,,,,,,,,,,,
02014F,4076 Neely Rd,AK,99703,Acute Care - Department of Defense,Department of Defense,Yes,,,,,,,,,,,,,,,,,,,
021301,PO BOX 550,AK,99686,Critical Access Hospitals,Government - Local,Yes,,,,,,,,,,,,,,,,,,,
021302,"417 FIRST AVENUE, PO BOX 365",AK,99664,Critical Access Hospitals,Government - Local,Yes,,,,,,,,,,,,,,,,,,,
021304,PO BOX 589,AK,99833,Critical Access Hospitals,Government - Local,Yes,,,,,,,4.3,,,,,,,,,,,,
020018,PO BOX 287,AK,99559,Acute Care Hospitals,Tribal,Yes,,,,,12.4,14.5,4.3,0.25,0.29,,,,,,,,,0.6,0.74
021306,1915 EAST REZANOF DRIVE,AK,99615,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,,,,,15.4,4.1,,,,,,,,,,,,
021305,232 WOOD STREET,AK,99929,Critical Access Hospitals,Tribal,Yes,,,,,,,,,,,,,,,,,,,
024002,3700 PIPER STREET,AK,99508,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
024001,2530 DEBARR RD,AK,99508,Psychiatric,Proprietary,Yes,,,,,,,,,,,,,,,,,,,
021313,4300 BARTLETT ST,AK,99603,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,15.5,4.3,,,,,,,,,,,,
021312,7000 UULA ST,AK,99723,Critical Access Hospitals,Tribal,Yes,,,,7.4,,16.5,4.2,,,,,,,,,,,,
021314,222 TONGASS DR,AK,99835,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,9.3,13.4,18.3,4.1,,,,,,,,,,,,
021310,PO BOX 43,AK,99752,Critical Access Hospitals,Tribal,Yes,,,,,,,,,,,,,,,,,,,
021309,P O BOX 130,AK,99576,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,3.9,,,,,,,,,,,,
021308,1000 GREG KRUSCHEK AVENUE (P O BOX 966),AK,99762,Critical Access Hospitals,Tribal,Yes,,,,9.3,,,4.2,,,,,,,,,,,,
021307,PO BOX 160 - 602 CHASE AVENUE,AK,99574,Critical Access Hospitals,Government - Local,Yes,,,,,,,,,,,,,,,,,,,
021311,3100 TONGASS AVENUE,AK,99901,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,,,,10.6,13.3,4.2,,,,,,,,,,,,
